Lucid Air Dream Edition R	685Average
Volkswagen ID.4 Pure Performance	285Average
Audi Q4 e-tron 35	285Average
Volkswagen ID.4 Pure	285Average
CUPRA Born 110 kW - 45 kWh	275Average
MG ZS EV Standard Range	270Average
Citroen e-C4	265Average
Citroen e-Jumpy Combi M 75 kWh	265Average
Citroen e-SpaceTourer M 75 kWh	265Average
Opel Vivaro-e Combi M 75 kWh	265Average
Opel Zafira-e Life M 75 kWh	265Average
Peugeot e-Expert Combi Standard 75 kWh	265Average
Peugeot e-Traveller Standard 75 kWh	265Average
MG MG5 Electric Standard Range	265Average
Citroen e-C4 X	265Average
Fiat E-Ulysse L2 75 kWh	265Average
Toyota PROACE Verso M 75 kWh	265Average
Seres 3	260Average
Citroen e-Jumpy Combi XL 75 kWh	260Average
Citroen e-SpaceTourer XL 75 kWh	260Average
Opel Vivaro-e Combi L 75 kWh	260Average
Opel Zafira-e Life L 75 kWh	260Average
Peugeot e-Expert Combi Long 75 kWh	260Average
Peugeot e-Traveller Long 75 kWh	260Average
Toyota PROACE Shuttle M 75 kWh	260Average
Toyota PROACE Shuttle L 75 kWh	260Average
Fiat E-Ulysse L3 75 kWh	260Average
Toyota PROACE Verso L 75 kWh	260Average
ORA Funky Cat 48 kWh	260Average
Peugeot e-2008 SUV	255Average
Opel Mokka-e	255Average
Renault Megane E-Tech EV40 130hp	250Average
Hyundai Kona Electric 39 kWh	250Average
Fiat 500e Hatchback 42 kWh	235Average
Fiat 500e 3+1 42 kWh	235Average
Nissan Leaf	235Average
Lexus UX 300e	235Average
Kia e-Soul 39.2 kWh	230Average
Fiat 500e Cabrio 42 kWh	230Average
JAC iEV7s	225Average
Abarth 500e Scorpionissima	225Average
Renault Kangoo E-Tech Electric	215Average
Mercedes eVito Tourer Long 60 kWh	210Average
Mercedes EQV 250 Long	205Average
Mercedes EQV 250 Extra-Long	205Average
Mercedes eVito Tourer Extra-Long 60 kWh	205Average
Volkswagen e-Up!	205Average
Toyota Proace City Verso Electric L1 50 kWh	205Average
Opel Combo-e Life 50 kWh	200Average
Citroen e-Berlingo M 50 kWh	200Average
Peugeot e-Rifter Standard 50 kWh	200Average
Toyota Proace City Verso Electric L2 50 kWh	200Average
Opel Combo-e Life XL 50 kWh	195Average
Citroen e-Berlingo XL 50 kWh	195Average
Peugeot e-Rifter Long 50 kWh	195Average
Citroen e-Jumpy Combi M 50 kWh	180Average
Citroen e-SpaceTourer M 50 kWh	180Average
Opel Vivaro-e Combi M 50 kWh	180Average
Opel Zafira-e Life M 50 kWh	180Average
Peugeot e-Expert Combi Standard 50 kWh	180Average
Peugeot e-Traveller Standard 50 kWh	180Average
Mini Cooper SE	180Average
Fiat E-Ulysse L2 50 kWh	180Average
Citroen e-Jumpy Combi XL 50 kWh	175Average
Citroen e-SpaceTourer XL 50 kWh	175Average
Opel Vivaro-e Combi L 50 kWh	175Average
Opel Zafira-e Life L 50 kWh	175Average
Peugeot e-Expert Combi Long 50 kWh	175Average
Peugeot e-Traveller Long 50 kWh	175Average
Toyota PROACE Shuttle M 50 kWh	175Average
Toyota PROACE Shuttle L 50 kWh	175Average
Fiat E-Ulysse L3 50 kWh	175Average
Mini Cooper SE Convertible	170Average
Mazda MX-30	170Average
Honda e Advance	170Average
Dacia Spring Electric 45	165Average
Dacia Spring Electric 65 Extreme	160Average
Fiat 500e Hatchback 24 kWh	135Average
Fiat 500e 3+1 24 kWh	135Average
Fiat 500e Cabrio 24 kWh	135Average
Renault Twingo Electric	130Average
Smart EQ fortwo coupe	100Average
Smart EQ fortwo cabrio	95Average
