[-0.108,47.381];22;4
[-0.11,49.286];22;3
[-0.11,49.285];22;3
[-0.111,47.376];22000;3
[-0.112,43.449];22000;1
[-0.113,42.889];22000;2
[-0.113,43.185];22000;1
[-0.116,49.294];18;6
[-0.116,42.89];18;1
[-0.116,49.281];22;8
[-0.117,49.288];7;5
[-0.117,49.282];22;2
[-0.119,47.232];22;3
[-0.12,45.046];22;3
[-0.122,45.045];22000;3
[-0.126,44.778];22000;1
[-0.127,44.93];50;2
[-0.129,47.231];22000;7
[-0.129,45.016];22000;1
[-0.129,47.23];22;2
[-0.129,48.182];22;1
[-0.136,44.82];22;2
[-0.139,49.282];22000;2
[-0.142,45.644];22000;1
[-0.151,49.101];22;4
[-0.153,47.308];22000;3
[-0.153,45.473];22000;1
[-0.155,47.131];4000;4
[-0.157,45.467];22000;3
[-0.157,44.896];22000;1
[-0.158,45.47];22000;2
[-0.159,45.473];22000;1
[-0.159,45.737];22000;2
[-0.163,43.245];22000;1
[-0.163,47.988];22;6
[-0.166,49.128];22;3
[-0.168,49.117];22000;3
[-0.174,45.682];22000;1
[-0.174,45.679];22;2
[-0.177,44.425];22000;2
[-0.177,45.025];22000;1
[-0.178,44.918];22;1
[-0.184,43.264];22000;6
[-0.185,45.04];22000;1
[-0.187,43.777];50;1
[-0.187,43.969];22000;2
[-0.189,43.266];22000;1
[-0.19,49.231];22000;4
[-0.191,44.876];22000;1
[-0.197,48.897];22;4
[-0.199,48.461];22;1
[-0.199,43.126];22;2
[-0.2,43.271];22;3
[-0.201,48.895];22;3
[-0.202,48.893];22000;3
[-0.204,44.992];22000;1
[-0.205,49.28];50;4
[-0.207,48.908];22;3
[-0.207,49.125];50;3
[-0.208,47.139];18;2
[-0.21,42.957];18;1
[-0.211,44.977];22;1
[-0.213,43.192];22;2
[-0.214,47.438];43;3
[-0.215,49.058];22;3
[-0.22,49.178];22;3
[-0.224,46.649];22;1
[-0.224,47.351];60;4
[-0.228,44.439];22;7
[-0.232,47.342];43000;3
[-0.232,43.98];22;3
[-0.233,47.554];22;3
[-0.236,43.703];22000;2
[-0.236,45.383];22000;1
[-0.237,44.917];22;2
[-0.237,47.44];50;3
[-0.238,47.732];43;1
[-0.239,44.518];22;20
[-0.239,44.517];22;19
