consolidated_longitude,consolidated_latitude,nbre_pdc,puissance_nominale
-2.824,48.648,2,22.0
-2.82,48.123,4,18.0
-2.819,47.919,4,18.0
-2.818,48.408,2,22.0
-2.818,48.569,2,22.0
-2.812,47.818,4,18.0
-2.805,47.658,2,18.0
-2.805,48.514,8,60.0
-2.804,47.697,2,18.0
-2.804,47.698,2,18.0
-2.797,48.546,2,22.0
-2.796,47.661,4,36.0
-2.794,47.669,16,22.0
-2.792,47.664,4,50.0
-2.792,48.483,2,22.0
-2.792,48.488,2,22.0
-2.788,47.652,4,18.0
-2.788,47.67,4,18.0
-2.788,47.756,2,18.0
-2.787,47.666,20,50.0
-2.787,47.756,2,18.0
-2.78,47.633,4,18.0
-2.78,48.514,2,22.0
-2.779,48.499,4,22.0
-2.776,47.522,4,18.0
-2.772,47.658,4,18.0
-2.771,47.646,4,18.0
-2.771,47.881,4,18.0
-2.77,47.525,4,18.0
-2.769,48.507,2,22.0
-2.768,47.671,4,18.0
-2.768,48.49,22,50.0
-2.767,48.492,2,22.0
-2.766,47.758,4,18.0
-2.765,48.494,12,22.0
-2.765,48.518,2,22.0
-2.764,47.638,4,18.0
-2.764,47.659,4,18.0
-2.764,47.716,4,18.0
-2.764,48.192,2,22.0
-2.764,48.514,32,22.0
-2.762,48.509,2,22.0
-2.761,48.536,32,22.0
-2.759,47.656,4,18.0
-2.758,48.178,2,22.0
-2.757,48.515,2,22.0
-2.755,47.642,4,18.0
-2.755,47.651,4,18.0
-2.755,48.347,2,22.0
-2.754,47.659,4,18.0
-2.752,48.068,4,18.0
-2.752,48.523,2,22.0
-2.745,48.446,2,22.0
-2.741,48.501,4,50.0
-2.74,48.502,6,225.0
-2.739,48.502,6,60.0
-2.737,47.619,4,18.0
-2.737,47.69,4,18.0
-2.737,48.49,2,22.0
-2.736,48.18,1,50.0
-2.734,47.653,1,22.0
-2.734,48.234,2,22.0
-2.734,48.507,4,22.0
-2.731,47.659,4,18.0
-2.731,47.665,6,44.0
-2.73,47.681,4,7.0
-2.728,48.542,2,22.0
-2.724,47.911,4,18.0
-2.723,47.844,4,18.0
-2.721,47.547,6,50.0
-2.721,47.656,1,22.0
-2.72,47.655,6,120.0
-2.716,48.494,2,22.0
-2.714,47.962,4,18.0
-2.703,48.482,1,50.0
-2.698,47.647,4,50.0
-2.69,47.778,4,18.0
-2.69,48.182,2,22.0
-2.687,48.062,4,18.0
-2.685,47.988,4,18.0
-2.681,47.742,2,18.0
-2.681,47.743,2,18.0
-2.678,48.485,2,22.0
-2.676,48.478,2,24.0
-2.668,48.513,2,22.0
-2.658,48.422,2,22.0
-2.651,47.703,4,18.0
-2.649,47.629,4,18.0
-2.648,47.526,2,22.0
-2.642,47.838,4,18.0
-2.641,47.892,4,18.0
-2.64,47.7,2,22.0
-2.634,48.36,2,22.0
-2.629,47.579,4,18.0
-2.618,48.276,2,22.0
-2.614,47.682,4,18.0
-2.594,47.724,9,120.0
-2.592,48.177,2,22.0
-2.591,47.734,4,36.0
-2.591,47.793,4,18.0
-2.59,47.731,2,22.0
-2.583,48.102,2,22.0
-2.582,47.518,4,18.0
-2.577,48.532,2,22.0
-2.571,47.675,4,18.0
-2.563,47.939,4,18.0
-2.552,48.589,2,22.0
-2.549,47.954,2,22.0
-2.547,47.378,2,22.0
-2.547,48.467,1,22.0
-2.546,47.954,4,36.0
-2.545,48.097,4,18.0
-2.542,47.689,4,18.0
-2.535,47.938,1,22.0
-2.535,48.199,2,22.0
-2.535,48.582,2,22.0
-2.526,47.862,4,18.0
-2.523,48.359,2,22.0
-2.518,48.471,2,22.0
-2.517,48.298,2,22.0
-2.514,48.276,2,22.0
-2.514,48.46,18,22.0
-2.512,47.296,2,22.0
-2.51,47.387,8,22.08
-2.508,47.822,4,18.0
-2.507,47.348,2,22.0
-2.486,48.329,2,22.0
-2.483,47.556,4,18.0
-2.48,47.279,2,22.0
-2.472,48.014,4,18.0
-2.471,47.482,4,18.0
-2.468,48.63,2,22.0
-2.463,48.14,4,18.0
-2.457,47.592,4,18.0
